0515,δειπνοθήρας,n,n-s---mn1a,δειπνοθήρου,,,,,0
22705,δ00933,δεσπόσιος,a,aps---cn2-,δεσπόσιος δεσπόσιος δεσπόσιον,,,,,0
22706,δ00934,δέσποσμα,n,n-s---nn3t,δεσπόσματος,,,,,0
22707,δ00935,δεσποστός,a,aps---mn1-,δεσποστός δεσποστή δεσποστόν,,,,,0
22708,δ00936,δεσποσύνη,n,n-s---fn1e,δεσποσύνης,,,,,0
22710,δ00938,δεσποτεία,n,n-s---fn1l,δεσποτείας,,,,,0
22712,δ00940,δεσπότειρα,n,n-s---fn1s,δεσπότειρας,,,,,0
22713,δ00941,δεσποτεύω,v,----------,,,,,,0
22714,δ00942,δεσποτέω,v,----------,,,,,,0
22715,δ00943,δεσπότης,n,n-s---mn1e,δεσπότου,,,/des.pó.tɛːs/,,0
22716,δ00944,δεσποτίδιον,n,n-s---nn2-,δεσποτιδίου,,,,,0
22717,δ00945,δεσποτικός,a,aps---mn1-,δεσποτικός δεσποτική δεσποτικόν,,,,,0
22718,δ00946,δέσποτις,n,----------,,,,,,0
22720,δ00948,δεσπότρια,n,n-s---fn1s,δεσπότριας,,,,,0
22721,δ00949,δέστρον,n,n-s---nn2-,δέστρου,,,,,0
22722,δ00951,δετέον,v,----------,,,,,,0
22723,δ00952,δέτις,n,n-s---fn3d,δέτιδος,,,,,0
22724,δ00953,δετός,a,aps---mn1-,δετός δετή δετόν,,,,,0
22725,δ00954,δέτρον,n,n-s---nn2-,δέτρου,,,,,0
22726,δ00955,δευκής,a,aps---cn5s,δευκής δευκής δευκές,,,,,0
22727,δ00684,δεῦκος,n,n-s---nn3v,δεῦκεος,,,,,0
22728,δ00748,δεῦμα,n,n-s---nn3t,δεύματος,,,,,0
22729,δ00750,δεῦμαι,v,----------,,,,,,0
22731,δ00956,δεύομαι,v,----------,,,,,,0
22732,δ00892,δεῦρο,r,rp--------,δεῦρο,,,/déu̯.ro/,,0
22733,,Δεύς,n,----------,,,,/deú̯s/,,0
22734,δ00957,δεύσιμος,a,aps---mn1-,δεύσιμος δευσίμη δεύσιμον,,,,,0
22735,δ00958,δευσοποιέω,v,----------,,,,,,0
22736,δ00959,δευσοποιία,n,n-s---fn1l,δευσοποιίας,,,,,0
22738,δ00961,δευσορούσιος,a,aps---mn1-,δευσορούσιος δευσορούσια δευσορούσιον,,,,,0
21013,γ00892,γλυκύκρεος,a,aps---cn2-,γλυκύκρεος γλυκύκρεος γλυκύκρεον,,,,,0
22740,δ00963,δεύτατος,a,aps---mn1-,δεύτατος δευτάτη δεύτατον,,,,,0
22741,δ00950,δεῦτε,r,----------,,,,,,0
22742,δ00964,δευτεραγωνιστέω,v,----------,,,,,,0
22743,δ00965,δευτεραγωνιστής,n,n-s---mn1e,δευτεραγωνιστού,,,,,0
22747,δ00970,δευτερεύω,v,----------,,,,,,0
22748,δ00971,δευτερέω,v,----------,,,,,,0
22749,δ00972,δευτεριάζω,v,----------,,,,,,0
22750,δ00973,δευτερίας,n,----------,,,,,,0
22751,δ00974,δευτερίναρ,n,----------,,,,,,0
22752,δ00975,δευτέριος,a,aps---mn1-,δευτέριος δευτέρια δευτέριον,,,,,0
22753,δ00976,δευτεροβόλος,a,aps---cn2-,δευτεροβόλος δευτεροβόλος δευτεροβόλον,,,,,0
22755,δ00978,δευτερόγονος,a,aps---cn2-,δευτερόγονος δευτερόγονος δευτερόγονον,,,,,0
22756,δ00979,δευτεροδέομαι,v,----------,,,,,,0
22757,δ00980,δευτεροκοιτέω,v,----------,,,,,,0
22758,δ00981,δευτερόλεπτον,n,n-s---nn2-,δευτερολέπτου,,,,,0
22759,δ00982,δευτερολογέω,v,----------,,,,,,0
22760,δ00983,δευτερολογία,n,----------,,,,,,0
22761,δ00984,δευτερολόγος,n,n-s---mn2-,δευτερολόγου,,,,,0
22763,δ00986,δευτεροπάθεια,n,n-s---fn1s,δευτεροπάθειας,,,,,0
22765,δ00988,δευτερόπρωτον,n,n-s---nn2-,δευτεροπρώτου,,,,,0
22766,δ00989,δεύτερος,m,----------,,,,,,0
22767,δ00990,δευτεροστάτης,n,n-s---mn1e,δευτεροστάτου,,,,,0
22768,δ00991,δευτεροστολιστής,n,n-s---mn1e,δευτεροστολιστού,,,,,0
22769,δ00992,δευτεροστρατηλαιανοί,n,----------,,,,,,0
22770,δ00993,δευτεροταγής,a,aps---cn5s,δευτεροταγής δευτεροταγής δευτεροταγές,,,,,0
22771,δ00994,δευτεροτόκος,a,aps---cn2-,δευτεροτόκος δευτεροτόκος δευτεροτόκον,,,,,0
22772,δ00995,δευτερουργής,a,aps---cn5s,δευτερουργής δευτερουργής δευτερουργές,,,,,0
22773,δ00996,δευτερουργός,a,----------,,,,,,0
22776,δ00999,δευτεροχύται,n,n-p---fn1l,δευτεροχυτῶν,,,,,0
22777,δ01000,δευτερόω,v,----------,,,,,,0
22778,δ00967,δευτερῳδέομαι,v,----------,,,,,,0
22779,δ01001,δευτέρωμα,n,n-s---nn3t,δευτερώματος,,,,,0
22780,δ01002,δευτέρωσις,n,n-s---fn3v,δευτερωσέως,,,,,0
22781,δ01003,δευτήρ,n,n-s---mn3r,δευτῆρος,,,,,0
22782,δ01004,δεύω,v,----------,,,,,,0
22783,δ01005,δεύω,v,----------,,,,,,0
22784,δ01006,δεφιδασταί,n,n-p---mn2-,δεφιδαστῶν,,,,,0
22785,δ01007,δέφυρα,n,n-s---fn1s,δέφυρας,,,,,0
22786,δ01008,δέφω,v,v1spia--1-,,,,/dé.pʰɔː/,,0
22788,δ01010,δεχάς,n,n-s---fn3d,δεχάδος,,,,,0
22789,δ01011,δέχαται,n,----------,,,,,,0
22790,δ01012,δεχεπτά,a,----------,,,,,,0
21022,γ00901,γλυκύμυθος,a,aps---cn2-,γλυκύμυθος γλυκύμυθος γλυκύμυθον,,,,,0
22792,δ01014,δέχνυμαι,v,----------,,,,,,0
22793,δ01015,δεχοκτώ,a,----------,,,,,,0
22794,δ01016,δέχομαι,v,----------,,,,/dé.kʰo.mai̯/,,0
22803,,δηγμός,n,----------,,,,,,0
22804,,δηθά,r,----------,,,,,,0
22806,,δηθάκι,r,----------,,,,,,0
22807,,δῆθεν,r,----------,,,,,,0
22808,,δηθύνω,v,----------,,,,,,0
22809,,δηϊάλωτος,a,----------,,,,,,0
22810,,Δηιάνειρα,n,n-s---fn1s,Δηιάνειρας,,,,,0
22811,,δήϊος,a,aps---mn1-,Δ.Η.́ϊος Δ.Η.ΐη Δ.Η.́ϊον,,,,,0
22812,,δηϊοτής,n,n-s---fn3d,Δ.Η.ϊοτῆτος,,,,,0
22813,,δηϊοῦσα,n,----------,,,,,,0
22814,,δηϊόω,v,----------,,,,,,0
22816,,δηί̈ω,v,----------,,,,,,0
22817,,δηκτήριος,a,aps---cn2-,Δ.Η.κτήριος Δ.Η.κτήριος Δ.Η.κτήριον,,,,,0
22818,,δήκτης,n,n-s---mn1e,Δ.Ή.κτου,,,,,0
22819,,δηκτικός,a,aps---mn1-,Δ.Η.κτικός Δ.Η.κτική Δ.Η.κτικόν,,,,,0
22820,,δήκω,v,----------,,,,,,0
22821,,δηλαδή,a,----------,,,,,,0
22822,,δηλαϊστός,n,----------,,,,,,0
22823,,δηλέομαι,v,----------,,,,,,0
22824,,δηλέομαι,n,----------,,,,,,0
22825,,δηληγατεύω,v,----------,,,,,,0
22828,,δηλήμων,a,aps---cn3n,Δ.Η.λήμων Δ.Η.λήμων Δ.Η.λήμον,,,,,0
22829,,δήλησις,n,n-s---fn3v,Δ.Η.λησέως,,,,,0
22830,,δηλητήρ,n,n-s---mn3r,Δ.Η.λητῆρος,,,,,0
22832,,δηλητηριώδης,a,aps---cn3s,Δ.Η.λητηριώδης Δ.Η.λητηριώδης Δ.Η.λητηριώ͂δες,,,,,0
22833,,Δήλιος,a,aps---mn1-,Δήλιος Δήλια Δήλιον,,aps---cn2-=Δήλιος aps---cn2-=Δήλιος aps---nn2-=Δήλιον,,,0
22834,,Δηλογενής,a,aps---cn5s,Δηλογενής Δηλογενής Δηλογενές,,,,,0
22835,,δήλομαι,v,----------,,,,,,0
22836,,δηλονότι,v,----------,,,,,,0
22837,,Δηλόπτης,n,n-s---mn1e,Δηλόπτου,,,,,0
22838,,Δῆλος,n,n-s---fn2-,Δήλου,,,/dɛ̂ː.los/,,0
22839,,δῆλος,a,----------,,,,,,0
22841,,δηλόω,v,----------,,,,,,0
22842,,δήλωμα,n,n-s---nn3t,Δ.Η.λώματος,,,,,0
22844,,δηλωτέον,v,----------,,,,,,0
22845,,δηλωτικός,a,aps---mn1-,Δ.Η.λωτικός Δ.Η.λωτική Δ.Η.λωτικόν,,,,,0
22846,,δηλωτός,a,aps---mn1-,Δ.Η.λωτός Δ.Η.λωτή Δ.Η.λωτόν,,,,,0
22847,,δῆμα,n,n-s---nn3t,Δ.Ή.ματος,,,,,0
22848,,δημαγωγέω,v,----------,,,,,,0
22850,,δημαγωγικός,a,aps---mn1-,Δ.Η.μαγωγικός Δ.Η.μαγωγική Δ.Η.μαγωγικόν,,,,,0
22851,,δημαγωγός,n,----------,,,,,,0
22852,,δημακίδιον,n,n-s---nn2-,Δ.Η.μακιδίου,,,,,0
22854,,δημαρχέω,v,----------,,,,,,0
22855,,δημαρχία,n,n-s---fn1l,Δ.Η.μαρχίας,,,,,0
22909,,δημοκόλαξ,n,n-s---mn3v,Δ.Η.μοκόλακος,,,,,0
57514,κ08257,κυάθειον,n,n-s---nn2-,κυαθείου,,,,,0
22860,,δήμευσις,n,n-s---fn3v,Δ.Η.μευσέως,,,,,0
22861,,δημεύω,v,----------,,,,,,0
22862,,δημεχθηλός,a,aps---cn2-,Δ.Η.μεχθηλός Δ.Η.μεχθηλός Δ.Η.μεχθηλόν,,,,,0
22863,,δημεχθής,a,aps---cn5s,Δ.Η.μεχθής Δ.Η.μεχθής Δ.Η.μεχθές,,,,,0
22864,,δημηγερσία,n,n-s---fn1l,Δ.Η.μηγερσίας,,,,,0
22865,,δημηγορέω,v,----------,,,,,,0
22867,,δημηγορικός,a,aps---mn1-,Δ.Η.μηγορικός Δ.Η.μηγορική Δ.Η.μηγορικόν,,,,,0
22868,,δημήγορος,n,n-s---mn2-,Δ.Η.μηγόρου,,,,,0
22869,,δημηλασία,n,n-s---fn1l,Δ.Η.μηλασίας,,,,,0
22870,,δημήλατος,n,----------,,,,,,0
22871,,Δημήτηρ,n,,,,,/dɛː.mɛ̌ː.tɛːr/,,0
22873,,Δημητριακός,a,aps---mn1-,Δημητριακός Δημητριακή Δημητριακόν,,,,,0
22874,,Δημητριάς,a,----------,,,,,,0
22875,,Δημητριασταί,n,n-p---mn2-,Δημητριαστῶν,,,,,0
22876,,Δημήτριος,n,,,,,/dɛː.mɛ̌ː.tri.os/,,0
22877,,Δημητριών,n,n-s---mn3n,Δημητριῶνος,,,,,0
22878,,δημίδιον,n,n-s---nn2-,Δ.Η.μιδίου,,,,,0
22879,,δημίζω,v,----------,,,,,,0
22882,,δημιοπληθής,a,aps---cn5s,Δ.Η.μιοπληθής Δ.Η.μιοπληθής Δ.Η.μιοπληθές,,,,,0
22883,,δημιόπρατα,n,n-p---nn2-,Δ.Η.μιοπράτων,,,,,0
22884,,δήμιος,a,aps---mn1-,Δ.Η.́μιος Δ.Η.́μια Δ.Η.́μιον,,,,,0
22885,,δημιουργεῖον,n,n-s---nn2-,Δ.Η.μιουργείου,,,,,0
22886,,δημιουργέω,v,----------,,,,,,0
22887,,δημιούργημα,n,n-s---nn3t,Δ.Η.μιουργήματος,,,,,0
22888,,δημιουργία,n,n-s---fn1l,Δ.Η.μιουργίας,,,,,0
22890,,δημιούργιον,n,n-s---nn2-,Δ.Η.μιουργίου,,,,,0
22891,,δημιουργίς,n,n-s---fn3d,Δ.Η.μιουργίδος,,,,,0
22892,,δημιουργός,n,----------,,,,,,0
22893,,δημιώδης,a,aps---cn3s,Δ.Η.μιώδης Δ.Η.μιώδης Δ.Η.μιώ͂δες,,,,,0
22894,,δημοβόητος,a,----------,,,,,,0
22895,,δημοβορέω,v,----------,,,,,,0
22896,,δημοβόρος,a,aps---cn2-,Δ.Η.μοβόρος Δ.Η.μοβόρος Δ.Η.μοβόρον,,,,,0
22897,,δημογέρων,n,n-s---mn3t,Δ.Η.μογέροντος,,,,,0
22898,,δημοδίωκτος,n,----------,,,,,,0
22901,,δημόθεν,r,----------,,,,,,0
22902,,δημοθοινέω,v,----------,,,,,,0
22903,,δημοθοινία,n,n-s---fn1l,Δ.Η.μοθοινίας,,,,,0
22904,,δημόθροος,a,----------,,,,,,0
22905,,δημοκαλλίας,n,----------,,,,,,0
22906,,δημοκηδής,n,----------,,,,,,0
22908,,δημόκοινος,n,n-s---mn2-,Δ.Η.μοκοίνου,,,,,0
22913,,δημοκοπικός,a,aps---mn1-,Δ.Η.μοκοπικός Δ.Η.μοκοπική Δ.Η.μοκοπικόν,,,,,0
22914,,δημόκραντος,a,aps---cn2-,Δ.Η.μόκραντος Δ.Η.μόκραντος Δ.Η.μόκραντον,,,,,0
22915,,δημοκρατέομαι,v,----------,,,,,,0
21033,γ00912,γλύκυσμα,n,n-s---nn3t,γλυκύσματος,,,,,0
22917,,δημοκρατίζω,v,----------,,,,,,0
22919,,Δημοκρίτειοι,n,n-p---mn2-,Δημοκριτείων,,,,,0
22920,,δημοκώκυτος,n,----------,,,,,,0
22922,,δημόλευστος,a,aps---cn2-,Δ.Η.μόλευστος Δ.Η.μόλευστος Δ.Η.μόλευστον,,,,,0
22924,,δημολογικός,a,aps---mn1-,Δ.Η.μολογικός Δ.Η.μολογική Δ.Η.μολογικόν,,,,,0
22925,,δημόομαι,v,----------,,,,,,0
22926,,δημοπίθηκος,n,n-s---mn2-,Δ.Η.μοπιθήκου,,,,,0
22927,,δημοποίητος,a,aps---cn2-,Δ.Η.μοποίητος Δ.Η.μοποίητος Δ.Η.μοποίητον,,,,,0
22928,,δημόπρακτος,a,aps---cn2-,Δ.Η.μόπρακτος Δ.Η.μόπρακτος Δ.Η.μόπρακτον,,,,,0
22929,,δημοπράτης,n,n-s---mn1e,Δ.Η.μοπράτου,,,,,0
22931,,δῆμος,n,----------,,,,,,0
22932,,δημός,n,----------,,,,,,0
22933,,Δημοσθένειος,a,aps---mn1-,Δημοσθένειος Δημοσθένεια Δημοσθένειον,,,,,0
22934,,Δημοσθενίζω,v,----------,,,,,,0
22935,,δημοσίᾳ,r,----------,,,,,,0
22936,,δημοσιεύω,v,----------,,,,,,0
22937,,δημοσιομάστης,n,----------,,,,,,0
22939,,δημόσιος,a,----------,,,,,,0
22940,,δημοσιουργία,n,n-s---fn1l,Δ.Η.μοσιουργίας,,,,,0
22941,,δημοσιοφύλαξ,n,n-s---mn3v,Δ.Η.μοσιοφύλακος,,,,,0
22942,,δημοσιόω,v,----------,,,,,,0
22943,,δημοσίωμα,n,----------,,,,,,0
22944,,δημοσιώνης,n,n-s---mn1e,Δ.Η.μοσιώνου,,,,,0
22945,,δημοσιωνία,n,n-s---fn1l,Δ.Η.μοσιωνίας,,,,,0
22946,,δημοσιώνιον,n,n-s---nn2-,Δ.Η.μοσιωνίου,,,,,0
22947,,δημοσίωσις,n,n-s---fn3v,Δ.Η.μοσιωσέως,,,,,0
22948,,δημοσσόος,a,aps---cn2-,Δ.Η.μοσσόος Δ.Η.μοσσόος Δ.Η.μοσσόον,,,,,0
22949,,δημοστροφέω,v,----------,,,,,,0
22952,,δημότερος,a,aps---mn1-,Δ.Η.μότερος Δ.Η.μότερα Δ.Η.μότερον,,,,,0
22953,,δημότερπής,a,aps---cn5s,Δ.Η.μότερπής Δ.Η.μότερπής Δ.Η.μότερπές,,,,,0
22954,,δημοτεύομαι,v,----------,,,,,,0
22955,,δημότης,n,n-s---mn1e,Δ.Η.μότου,,,,,0
22956,,δημοικός,a,aps---mn1-,Δ.Η.μοικός Δ.Η.μοική Δ.Η.μοικόν,,,,,0
22958,,δημοφάγος,a,aps---cn2-,Δ.Η.μοφάγος Δ.Η.μοφάγος Δ.Η.μοφάγον,,,,,0
22959,,δημοφανής,a,aps---cn5s,Δ.Η.μοφανής Δ.Η.μοφανής Δ.Η.μοφανές,,,,,0
23075,δ01108,διαβρέχω,v,----------,,,,,,0
22962,,δημοφιλής,a,aps---cn5s,Δ.Η.μοφιλής Δ.Η.μοφιλής Δ.Η.μοφιλές,,,,,0
22964,,δημοχαρής,a,aps---cn5s,Δ.Η.μοχαρής Δ.Η.μοχαρής Δ.Η.μοχαρές,,,,,0
22965,,δημοχαριστής,n,n-s---mn1e,Δ.Η.μοχαριστού,,,,,0
22966,,δημοχαριστικῶς,v,----------,,,,,,0
22967,,δημόω,v,----------,,,,,,0
22969,,δημώλης,a,aps---cn3s,Δ.Η.μώλης Δ.Η.μώλης Δ.Η.μώ͂λες,,,,,0
21041,γ00920,γλυκύφυτον,n,n-s---nn2-,γλυκυφύτου,,,,,0
21052,γ00930,γλυπτήρ,n,n-s---mn3r,γλυπτῆρος,,,,,0
22971,,δημωφελής,a,aps---cn5s,Δ.Η.μωφελής Δ.Η.μωφελής Δ.Η.μωφελές,,,,,0
22972,,Δήν,n,----------,,,,,,0
22973,,δήν,r,----------,,,,,,0
22974,,δηναιός,a,----------,,,,,,0
22976,,Δηναιών,n,----------,,,,,,0
22977,,δηνάριον,n,n-s---nn2-,Δ.Η.ναρίου,,,,,0
22978,,δήνεα,n,n-p---nn2-,Δ.Ή.νων,,,,,0
22979,,δήνεον,n,----------,,,,,,0
22982,,δῆξις,n,n-s---fn3v,Δ.Η.ξέως,,,,,0
22983,,δηόω,v,----------,,,,,,0
22984,,δήποθεν,r,----------,,,,,,0
22985,,δήποτε,r,----------,,,,,,0
22986,,δήπου,r,----------,,,,,,0
22987,,δήπουθεν,r,----------,,,,,,0
22988,,δηράς,n,----------,,,,,,0
22990,,δηριάομαι,v,----------,,,,,,0
22991,,δῆρις,n,----------,,,,,,0
22993,,δηρόβιος,a,aps---cn2-,Δ.Η.ρόβιος Δ.Η.ρόβιος Δ.Η.ρόβιον,,,,,0
22994,,δηρός,a,aps---mn1-,Δ.Η.ρός Δ.Η.ρά Δ.Η.ρόν,,,,,0
22995,,δησάσκετο,n,----------,,,,,,0
22996,,δῆτα,r,----------,,,,,,0
22997,,δητός,n,----------,,,,,,0
22998,,δητός,n,n-s---mn2-,Δ.Η.τού,,,,,0
22999,,δηὖτε,n,----------,,,,,,0
23000,,δήω,v,----------,,,,,,0
23001,,δήω,v,----------,,,,,,0
23002,,Δηώ,n,----------,,,,,,0
23003,,δῄω,v,----------,,,,,,0
23004,,δήωσις,n,n-s---fn3v,Δ.Η.ωσέως,,,,,0
23005,,Δί,r,----------,,,,,,0
23006,δ01037,διά,s,----------,,,,,,0
23007,,Δῖα,n,n-p---nn2-,Δίων,,,,,0
23010,δ01042,διάβαθρον,n,n-s---nn2-,διαβάθρου,,,,,0
23011,δ01043,διαβαίνω,v,----------,,,,,,0
23012,δ01044,διαβάλλω,v,----------,,,,,,0
23014,δ01046,διάβαρος,a,----------,,,,,,0
23015,δ01047,διαβασανίζω,v,----------,,,,,,0
23016,δ01048,διαβασείω,v,----------,,,,,,0
23017,δ01049,διαβασιλίζομαι,v,----------,,,,,,0
23018,δ01050,διάβασις,n,n-s---fn3v,διαβασέως,,,,,0
23019,δ01051,διαβάσκω,v,----------,,,,,,0
23024,δ01056,διαβατικός,a,aps---mn1-,διαβατικός διαβατική διαβατικόν,,,,,0
23025,δ01057,διαβατός,a,aps---mn1-,διαβατός διαβατή διαβατόν,,,,,0
23026,δ01058,διαβεβαιόω,v,----------,,,,,,0
23027,δ01059,διαβεβαίωσις,n,n-s---fn3v,διαβεβαιωσέως,,,,,0
23029,δ01061,διαβέτης,n,----------,,,,,,0
23031,δ01063,διαβηματίζω,v,----------,,,,,,0
23032,δ01064,διαβησείω,v,----------,,,,,,0
23033,δ01065,διαβήτης,n,n-s---mn1e,διαβήτου,,,,,0
23034,δ01066,διαβητίζομαι,v,----------,,,,,,0
23036,δ01068,διαβιάζομαι,v,----------,,,,,,0
21062,γ00940,γλυφίς,n,n-s---fn3d,γλυφίδος,,,,,0
23038,δ01070,διαβιβάσκω,v,----------,,,,,,0
23039,δ01071,διαβιβασμός,n,----------,,,,,,0
23041,δ01073,διαβιβρώσκω,v,----------,,,,,,0
23042,δ01074,διαβιόω,v,----------,,,,,,0
23043,δ01075,διαβιώσκω,v,----------,,,,,,0
23044,δ01076,διαβιωτέον,n,----------,,,,,,0
23045,δ01077,διαβλαστάνω,v,----------,,,,,,0
23046,δ01078,διαβλάστησις,n,n-s---fn3v,διαβλαστησέως,,,,,0
23047,δ01079,διαβλέπω,v,v1spia--1-,,,,,,0
23048,δ01080,διάβλημα,n,n-s---nn3t,διαβλήματος,,,,,0
23049,δ01081,διαβλητικός,a,aps---mn1-,διαβλητικός διαβλητική διαβλητικόν,,,,,0
23050,δ01082,διαβλήτωρ,n,n-s---mn3r,διαβλήτορος,,,,,0
23051,δ01083,διαβλύζω,v,----------,,,,,,0
23052,δ01084,διαβοάω,v,----------,,,,,,0
23054,δ01086,διαβόητος,a,aps---cn2-,διαβόητος διαβόητος διαβόητον,,,,,0
23055,δ01087,διαβολή,n,n-s---fn1e,διαβολῆς,,,/di.a.bo.lɛ̌ː/,,0
23056,δ01088,διαβολία,n,n-s---fn1l,διαβολίας,,,,,0
