5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
96502,σ07250,συνίδρωσις,n,n-s---fn3v,συνιδρωσέως,,,,,0
96503,σ07251,συνιεράομαι,v,----------,,,,,,0
96504,σ07252,συνιερατεύω,v,----------,,,,,,0
96506,σ07254,συνιεριτεύω,v,----------,,,,,,0
96507,σ07255,συνιερομνάμων,n,----------,,,,,,0
96508,σ07256,συνιεροποιέω,v,----------,,,,,,0
96509,σ07257,συνιεροποιός,n,----------,,,,,,0
96510,σ07258,συνίερος,a,aps---cn2-,συνίερος συνίερος συνίερον,,,,,0
96511,σ07259,συνιερουργέω,v,----------,,,,,,0
96512,σ07260,συνιζάνω,v,----------,,,,,,0
96514,σ07262,συνίζω,v,----------,,,,,,0
96515,σ07263,συνίημι,v,----------,,,,/sy.nǐː.ɛː.mi/,,0
96516,σ07264,συνικετεύω,v,----------,,,,,,0
96517,σ07265,συνικμάζομαι,v,----------,,,,,,0
96518,σ07266,συνικνέομαι,v,----------,,,,,,0
96519,σ07267,συνίκω,v,----------,,,,,,0
96520,σ07268,συνίλλω,v,----------,,,,,,0
96521,σ07269,συνιπόω,v,----------,,,,,,0
96524,σ07272,συνιππεύς,n,n-s---mn3v,συνιππέως,,,,,0
96525,σ07273,συνίππευσις,n,n-s---fn3v,συνιππευσέως,,,,,0
96526,σ07274,συνιππεύω,v,----------,,,,,,0
96527,σ07275,συνιππία,n,n-s---fn1l,συνιππίας,,,,,0
96528,σ07276,σύνιππος,a,aps---cn2-,σύνιππος σύνιππος σύνιππον,,,,,0
96529,σ07277,συνίπταμαι,v,----------,,,,,,0
96530,σ07278,σύνισαν,n,----------,,,,,,0
96532,σ07280,συνισόομαι,v,----------,,,,,,0
96533,σ07281,συνίστημι,v,----------,,,,,,0
96534,σ07282,συνιστορέω,v,----------,,,,,,0
96535,σ07283,συνίστωρ,n,n-s---cn3r,συνίστορος,,,,,0
96479,σ07227,συνθριαμβεύω,v,----------,,,,,,0
96538,σ07286,συνίσχω,v,----------,,,,,,0
96539,σ07287,συνιτικός,a,aps---mn1-,συνιτικός συνιτική συνιτικόν,,,,,0
96540,σ07288,συνιχνεύω,v,----------,,,,,,0
96541,σ07290,σύνναιος,a,aps---cn2-,σύνναιος σύνναιος σύνναιον,,,,,0
96542,σ07291,συνναίω,v,----------,,,,,,0
96543,σ07292,σύνναος,a,aps---cn2-,σύνναος σύνναος σύνναον,,,,,0
96544,σ07293,συννάσσω,v,----------,,,,,,0
96545,σ07294,συνναυαγέω,v,----------,,,,,,0
96548,σ07297,συνναυμαχέω,v,----------,,,,,,0
96549,σ07298,συνναυσθλόομαι,v,----------,,,,,,0
96550,σ07299,συνναυστολέω,v,----------,,,,,,0
96551,σ07300,συνναύτης,n,n-s---mn1e,συνναύτου,,,,,0
96552,σ07301,συννεάζω,v,----------,,,,,,0
96553,σ07302,συννεανιεύομαι,v,----------,,,,,,0
96554,σ07303,συννεκρόω,v,----------,,,,,,0
96556,σ07305,συννέμω,v,----------,,,,,,0
96557,σ07306,συννενέαται,n,----------,,,,,,0
96558,σ07307,σύννευμα,n,n-s---nn3t,συννεύματος,,,,,0
96559,σ07308,συννεύρωσις,n,n-s---fn3v,συννευρωσέως,,,,,0
96560,σ07309,σύννευσις,n,n-s---fn3v,συννευσέως,,,,,0
96561,σ07310,συννεύω,v,----------,,,,,,0
96562,σ07311,συννέφεια,n,n-s---fn1s,συννέφειας,,,,,0
96565,σ07314,σύννεφος,a,aps---cn2-,σύννεφος σύννεφος σύννεφον,,,,,0
96566,σ07315,συννέφω,v,----------,,,,,,0
96567,σ07316,συννέω,n,----------,,,,,,0
96568,σ07317,συννέω,n,----------,,,,,,0
96569,σ07318,συννεωτερίζω,v,----------,,,,,,0
96570,σ07319,συννήθω,v,----------,,,,,,0
96571,σ07320,σύννησις,n,n-s---fn3v,συννησέως,,,,,0
96572,σ07321,συννήχομαι,v,----------,,,,,,0
96573,σ07322,συννικάω,v,----------,,,,,,0
96574,σ07323,συννοέω,v,----------,,,,,,0
96576,σ07325,συννοητικός,a,aps---mn1-,συννοητικός συννοητική συννοητικόν,,,,,0
96577,σ07326,σύννοια,n,n-s---fn1s,σύννοιας,,,,,0
96578,σ07327,συννομέομαι,v,----------,,,,,,0
96579,σ07328,συννομεύς,n,n-s---mn3v,συννομέως,,,,,0
96580,σ07329,συννομή,n,n-s---fn1e,συννομῆς,,,,,0
96581,σ07330,συννομίζω,v,----------,,,,,,0
96582,σ07331,συννομοθετέω,v,----------,,,,,,0
96583,σ07332,σύννομος,a,----------,,,,,,0
96584,σ07333,σύννομος,a,aps---cn2-,σύννομος σύννομος σύννομον,,,,,0
96586,σ07335,συννοσέω,v,----------,,,,,,0
96587,σ07336,συννυκτερεύω,v,----------,,,,,,0
96589,σ07338,σύννυμφος,n,----------,,,,,,0
96590,σ07339,συνογκάομαι,v,----------,,,,,,0
96537,σ07285,συνισχυρίζω,v,----------,,,,,,0
96593,σ07342,συνοδευτής,n,n-s---mn1e,συνοδευτού,,,,,0
96594,σ07343,συνοδεύω,v,----------,,,,,,0
96595,σ07344,συνοδηγός,n,----------,,,,,,0
96596,σ07345,συνοδία,n,n-s---fn1l,συνοδίας,,,,,0
96598,σ07347,συνοδίτης,n,n-s---mn1e,συνοδίτου,,,,,0
96599,σ07348,συνοδοιπορέω,v,----------,,,,,,0
96600,σ07349,συνοδοιπορία,n,n-s---fn1l,συνοδοιπορίας,,,,,0
96602,σ07351,συνοδοντίς,n,n-s---fn3d,συνοδοντίδος,,,,,0
96603,σ07352,συνοδοπανσέληνος,n,----------,,,,,,0
96604,σ07354,σύνοδος,n,----------,,,,,,0
96605,σ07353,σύνοδος,n,n-s---cn2-,συνόδου,,,,,0
96606,σ07355,συνόδους,n,----------,,,,,,0
96607,σ07356,συνοδυνάομαι,v,----------,,,,,,0
96608,σ07357,συνοδύρομαι,v,----------,,,,,,0
96609,σ07358,συνόζω,v,----------,,,,,,0
96610,σ07359,σύνοιδα,n,----------,,,,,,0
96611,σ07360,συνοιδέω,v,----------,,,,,,0
96613,σ07362,συνοικειόω,v,----------,,,,,,0
96614,σ07363,συνοικείωσις,n,n-s---fn3v,συνοικειωσέως,,,,,0
96615,σ07364,συνοικέσιον,n,n-s---nn2-,συνοικεσίου,,,,,0
96616,σ07365,συνοικέτης,n,n-s---mn1e,συνοικέτου,,,,,0
96617,σ07366,συνοικέω,v,----------,,,,,,0
96619,σ07368,συνοίκησις,n,n-s---fn3v,συνοικησέως,,,,,0
96620,σ07369,συνοικητήρ,n,n-s---mn3r,συνοικητῆρος,,,,,0
96621,σ07370,συνοικήτωρ,n,n-s---mn3r,συνοικήτορος,,,,,0
96622,σ07372,συνοικία,n,n-s---fn1l,συνοικίας,,,,,0
96623,σ07371,συνοίκια,n,n-p---nn2-,συνοίκων,,,,,0
96624,σ07373,συνοικιάζω,v,----------,,,,,,0
96626,σ07375,συνοικίζω,v,----------,,,,,,0
96628,σ07377,συνοικίσιον,n,n-s---nn2-,συνοικισίου,,,,,0
96629,σ07378,συνοίκισις,n,n-s---fn3v,συνοικισέως,,,,,0
96630,σ07379,συνοικισμός,n,----------,,,,,,0
96631,σ07380,συνοικιστήρ,n,n-s---mn3r,συνοικιστῆρος,,,,,0
96632,σ07381,συνοικιστής,n,n-s---mn1e,συνοικιστού,,,,,0
96635,σ07384,συνοικοδομέω,v,----------,,,,,,0
96636,σ07385,συνοικονομέω,v,----------,,,,,,0
96637,σ07386,σύνοικος,a,aps---cn2-,σύνοικος σύνοικος σύνοικον,,,,,0
96638,σ07387,συνοικουρέω,v,----------,,,,,,0
96639,σ07388,συνοικουρία,n,n-s---fn1l,συνοικουρίας,,,,,0
96640,σ07389,συνοίκουρος,a,aps---cn2-,συνοίκουρος συνοίκουρος συνοίκουρον,,,,,0
96641,σ07390,συνοικτίζω,v,----------,,,,,,0
96643,σ07392,συνοιμώζω,v,----------,,,,,,0
96644,σ07393,συνοίομαι,v,----------,,,,,,0
96592,σ07341,συνόδευσις,n,n-s---fn3v,συνοδευσέως,,,,,0
96647,σ07396,συνοίχομαι,v,----------,,,,,,0
96648,σ07397,συνοκλάζω,v,----------,,,,,,0
96649,σ07398,συνόκτω,n,----------,,,,,,0
96650,σ07399,συνοκωχή,n,n-s---fn1e,συνοκωχῆς,,,,,0
96651,σ07400,συνοκωχότε,n,----------,,,,,,0
96652,σ07401,συνολισθάνω,v,----------,,,,,,0
96653,σ07402,συνολκή,n,n-s---fn1e,συνολκῆς,,,,,0
96654,σ07403,συνολκόομαι,v,----------,,,,,,0
96656,σ07405,συνόλλυμι,v,----------,,,,,,0
96657,σ07406,συνολμοκοπέω,v,----------,,,,,,0
96658,σ07407,συνολολύζω,v,----------,,,,,,0
96660,σ07409,συνολοφύρομαι,v,----------,,,,,,0
96662,σ07411,συνομαίμων,a,aps---cn3n,συνομαίμων συνομαίμων συνομαίμον,,,,,0
96663,σ07412,συνομαλίζω,v,----------,,,,,,0
96664,σ07413,συνομαλύνω,v,----------,,,,,,0
96665,σ07414,συνομαρτέω,v,----------,,,,,,0
96666,σ07415,συνομβρίζω,v,----------,,,,,,0
96667,σ07416,σύνομβρος,a,aps---cn2-,σύνομβρος σύνομβρος σύνομβρον,,,,,0
96669,σ07418,συνόμευνος,n,n-s---mn2-,συνομεύνου,,,,,0
96670,σ07419,συνομήθης,a,aps---cn3s,συνομήθης συνομήθης συνομή͂θες,,,,,0
96671,σ07426,συνομῆλιξ,n,n-s---mn3v,συνομήλικος,,,,,0
96672,σ07420,συνομηρεύω,v,----------,,,,,,0
96674,σ07422,συνομιλέω,v,----------,,,,,,0
96675,σ07423,συνομιλητής,n,n-s---mn1e,συνομιλητού,,,,,0
96676,σ07424,συνομιλία,n,n-s---fn1l,συνομιλίας,,,,,0
96677,σ07425,συνόμιλος,a,aps---cn2-,συνόμιλος συνόμιλος συνόμιλον,,,,,0
96678,σ07427,συνόμνυμι,v,----------,,,,,,0
96679,σ07428,συνομοζωνία,n,n-s---fn1l,συνομοζωνίας,,,,,0
96680,σ07429,συνομοιόομαι,v,----------,,,,,,0
96682,σ07431,συνομοίωμα,n,n-s---nn3t,συνομοιώματος,,,,,0
96683,σ07432,συνομολογέω,v,----------,,,,,,0
96684,σ07433,συνομολογητέον,n,----------,,,,,,0
96685,σ07434,συνομολογία,n,n-s---fn1l,συνομολογίας,,,,,0
96686,σ07435,συνομονοέω,v,----------,,,,,,0
96688,σ07437,συνομοπαθέω,v,----------,,,,,,0
96689,σ07438,συνομόπλοος,n,n-s---mn2-,συνομοπλόου,,,,,0
96690,σ07439,συνομορέω,v,----------,,,,,,0
96691,σ07440,συνομοταγέω,v,----------,,,,,,0
96693,σ07442,συνομωνυμέω,v,----------,,,,,,0
96694,σ07443,συνομώνυμος,a,aps---cn2-,συνομώνυμος συνομώνυμος συνομώνυμον,,,,,0
96695,σ07444,συνοξύνω,v,----------,,,,,,0
96696,σ07445,σύνοξυς,n,----------,,,,,,0
96697,σ07446,συνοπαδός,a,aps---cn2-,συνοπαδός συνοπαδός συνοπαδόν,,,,,0
96646,σ07395,συνοίσω,v,----------,,,,,,0
96700,σ07449,συνοπλίζομαι,v,----------,,,,,,0
96702,σ07451,συνοπλοφορέω,v,----------,,,,,,0
96703,σ07452,συνοπτάω,v,----------,,,,,,0
96704,σ07453,συνοπτέον,n,----------,,,,,,0
96706,σ07455,σύνοπτος,a,aps---cn2-,σύνοπτος σύνοπτος σύνοπτον,,,,,0
96707,σ07456,σύνοπτρον,n,n-s---nn2-,συνόπτρου,,,,,0
96708,σ07457,συνορατέον,n,----------,,,,,,0
96709,σ07458,συνορατικός,a,aps---mn1-,συνορατικός συνορατική συνορατικόν,,,,,0
96710,σ07459,συνοράω,v,----------,,,,,,0
96711,σ07460,συνοργιάζω,v,----------,,,,,,0
96712,σ07461,συνοργίζομαι,v,----------,,,,,,0
96713,σ07462,συνορέγομαι,v,----------,,,,,,0
96714,σ07463,συνορέω,v,----------,,,,,,0
96715,σ07464,συνορθιάζω,v,----------,,,,,,0
96717,σ07466,σύνορθρος,a,aps---cn2-,σύνορθρος σύνορθρος σύνορθρον,,,,,0
96718,σ07467,συνορία,n,n-s---fn1l,συνορίας,,,,,0
96719,σ07468,συνοριγνάομαι,v,----------,,,,,,0
96720,σ07469,συνορίζω,v,----------,,,,,,0
96721,σ07470,συνορίνω,v,----------,,,,,,0
96722,σ07471,συνόριον,n,n-s---nn2-,συνορίου,,,,,0
96723,σ07472,συνορκέω,v,----------,,,,,,0
96726,σ07475,συνορμάω,v,----------,,,,,,0
96727,σ07476,συνόρμενος,n,----------,,,,,,0
96728,σ07477,συνορμέω,v,----------,,,,,,0
96729,σ07478,συνορμίζω,v,----------,,,,,,0
96730,σ07479,συνόρνυμαι,v,----------,,,,,,0
96732,σ07481,συνορούω,v,----------,,,,,,0
96733,σ07482,συνοροφόω,v,----------,,,,,,0
96734,σ07483,συνορφανιστής,n,n-s---mn1e,συνορφανιστού,,,,,0
96735,σ07484,συνορχέομαι,v,----------,,,,,,0
96736,σ07485,συνοσφραίνω,v,----------,,,,,,0
96737,σ07486,συνοτρύνω,v,----------,,,,,,0
96738,σ07487,συνουετρανός,n,----------,,,,,,0
96739,σ07488,συνουλόω,v,----------,,,,,,0
96742,σ07491,σύνουρος,n,----------,,,,,,0
96743,σ07492,συνουσία,n,n-s---fn1l,συνουσίας,,,,,0
96744,σ07493,συνουσιάζω,v,----------,,,,,,0
96745,σ07494,συνουσίασμα,n,----------,,,,,,0
96746,σ07495,συνουσιασμός,n,----------,,,,,,0
96747,σ07496,συνουσιαστής,n,n-s---mn1e,συνουσιαστού,,,,,0
96749,σ07498,συνουσιόομαι,v,----------,,,,,,0
96750,σ07499,συνουσίωσις,n,n-s---fn3v,συνουσιωσέως,,,,,0
96751,σ07500,συνουτάομαι,v,----------,,,,,,0
96752,σ07501,συνοφείλω,v,----------,,,,,,0
96753,σ07502,συνοφρυόομαι,v,----------,,,,,,0
96699,σ07448,συνοπάων,n,----------,,,,,,0
96756,σ07505,συνοχεύς,n,n-s---mn3v,συνοχέως,,,,,0
96757,σ07506,συνοχέω,v,----------,,,,,,0
96758,σ07507,συνοχή,n,n-s---fn1e,συνοχῆς,,,,,0
96759,σ07508,συνοχηδόν,r,----------,,,,,,0
96760,σ07509,συνοχηί̈ς,n,----------,,,,,,0
96762,σ07511,συνοχίτης,n,----------,,,,,,0
96763,σ07512,συνοχμάζω,v,----------,,,,,,0
96765,σ07514,συνοχος,a,aps---cn2-,συνοχος συνοχος συνοχον,,,,,0
96766,σ07515,συνοχυρόομαι,v,----------,,,,,,0
96767,σ07516,συνόχωκα,n,----------,,,,,,0
96768,σ07517,συνοψίζω,v,----------,,,,,,0
96769,σ07518,σύνοψις,n,n-s---fn3v,συνοψέως,,,/sý.nop.sis/,,0
96771,σ07520,συνρ,n,----------,,,,,,0
96772,σ07522,συνταγεύω,v,----------,,,,,,0
96773,σ07523,συνταγή,n,n-s---fn1e,συνταγῆς,,,,,0
96774,σ07524,σύνταγμα,n,n-s---nn3t,συντάγματος,,,,,0
96777,σ07527,συνταγματικός,a,aps---mn1-,συνταγματικός συνταγματική συνταγματικόν,,,,,0
96778,σ07528,συνταγμάτιον,n,n-s---nn2-,συνταγματίου,,,,,0
96779,σ07529,συνταγματογράφος,n,n-s---mn2-,συνταγματογράφου,,,,,0
96780,σ07530,συντακής,a,aps---cn5s,συντακής συντακής συντακές,,,,,0
96781,σ07531,συντακτέον,n,----------,,,,,,0
96782,σ07532,συντακτήρ,n,n-s---mn3r,συντακτῆρος,,,,,0
96783,σ07534,συντακτικός,a,aps---mn1-,συντακτικός συντακτική συντακτικόν,,,,,0
96784,σ07533,συντακτήριος,a,aps---cn2-,συντακτήριος συντακτήριος συντακτήριον,,,,,0
96785,σ07535,συντακτός,a,aps---mn1-,συντακτός συντακτή συντακτόν,,,,,0
96786,σ07536,συνταλαιπωρέω,v,----------,,,,,,0
96788,σ07538,συνταλασιουργέω,v,----------,,,,,,0
96789,σ07539,συνταμίας,n,n-s---mn1a,συνταμίου,,,,,0
96790,σ07540,συντάμνω,v,----------,,,,,,0
96791,σ07541,συντανύω,v,----------,,,,,,0
96792,σ07542,συνταξιαρχία,n,n-s---fn1l,συνταξιαρχίας,,,,,0
96793,σ07543,συντάξιμον,n,n-s---nn2-,συνταξίμου,,,,,0
96794,σ07544,σύνταξις,n,n-s---fn3v,συνταξέως,,,/sýn.tak.sis/,,0
96795,σ07545,συνταπεινόομαι,v,----------,,,,,,0
96796,σ07546,συντάραξις,n,----------,,,,,,0
96798,σ07548,συνταργανόομαι,v,----------,,,,,,0
96799,σ07549,συνταρρόομαι,v,----------,,,,,,0
96800,σ07550,σύνταρρος,a,aps---cn2-,σύνταρρος σύνταρρος σύνταρρον,,,,,0
96801,σ07551,σύντασις,n,n-s---fn3v,συντασέως,,,/sýn.ta.sis/,,0
96802,σ07552,συντάσσω,v,v1spia--1-,,,,,,0
96803,σ07553,συντατέον,n,----------,,,,,,0
96806,σ07556,σύνταφος,a,aps---cn2-,σύνταφος σύνταφος σύνταφον,,,,,0
96755,σ07504,συνοφρύωμα,n,n-s---nn3t,συνοφρυώματος,,,,,0
96809,σ07559,συντειχίζω,v,----------,,,,/syn.teː.kʰíz.dɔː/,,0
96810,σ07560,συντεκμαίρομαι,v,----------,,,,,,0
96811,σ07561,συντεκμηριόομαι,v,----------,,,,,,0
96812,σ07562,συντεκνοποιέω,v,----------,,,,,,0
96813,σ07563,σύντεκνος,n,n-s---cn2-,συντέκνου,,,,,0
96814,σ07564,συντεκνόω,v,----------,,,,,,0
96817,σ07567,συντέλεια,n,n-s---fn1s,συντέλειας,,,,,0
96818,σ07568,συντελειόω,v,----------,,,,,,0
96819,σ07569,συντελείωσις,n,n-s---fn3v,συντελειωσέως,,,,,0
96821,σ07571,συντέλεσις,n,n-s---fn3v,συντελεσέως,,,,,0
96822,σ07572,συντέλεσμα,n,n-s---nn3t,συντελέσματος,,,,,0
96823,σ07573,συντελεστής,n,n-s---mn--,συντελεστού,,,,,0
96824,σ07574,συντελεστικός,a,aps---mn1-,συντελεστικός συντελεστική συντελεστικόν,,,,,0
96825,σ07575,συντελέστρια,n,n-s---fn1s,συντελέστριας,,,,,0
96826,σ07576,συντελευτάω,v,----------,,,,,,0
96827,σ07577,συντελέω,v,----------,,,,,,0
96828,σ07578,συντελής,n,----------,,,,,,0
96830,σ07580,συντελίσκω,v,----------,,,,,,0
96831,σ07581,συντέλλω,v,----------,,,,,,0
96833,σ07583,συντέμνω,v,----------,,,,,,0
