@,24976,24968
39474,%p,25555,25547
39475,%p,25555,25556
39476,@,25556,25458
39477,@,25557,25176
39478,@,25558,25455
39479,%p,25558,25249
39480,%p,25558,25559
39481,@,25559,26399
39482,@,25560,25559
39483,@,25561,26019
39484,%p,25561,25562
39485,@,25562,59928
39486,@,25563,25476
39487,@,25564,25476
39488,%p,25564,25565
39489,%p,25510,25518
39490,%p,25564,25570
39491,@,25565,25242
39492,@,25566,25253
39493,@,25567,25368
39494,@,25568,26019
39495,@,25569,25368
39496,@,25570,25368
39497,@,25571,25239
39498,%p,25571,25554
39499,@,25572,25451
39500,%p,25572,26337
39501,@,25573,25576
39502,@,25574,25573
39503,@,25575,25574
39504,@,25576,25572
39505,@,25577,25201
39506,%p,25577,25578
39507,@,25578,25572
39508,@,25579,25578
39509,@,25580,25578
39510,@,25581,25258
39511,@,25582,25576
39512,@,25583,25582
39513,@,25584,25582
39514,@,25585,25578
39515,%p,25585,26255
39516,@,25586,25578
39517,@,25587,25576
39518,@,25588,25257
39519,@,25589,26344
39520,@,25590,25572
39521,@,25591,25592
39522,%p,25591,25243
39523,%p,25591,25585
39524,%p,25591,25607
39525,%p,25591,25700
39526,%p,25591,25714
39527,%p,25591,25837
39528,%p,25591,26008
39529,%p,25591,26010
39530,%p,25591,26256
39531,%p,25591,26687
39532,@,25592,25456
39533,@,25593,25409
39534,%p,25593,25847
39535,@,25594,25990
39536,@,25595,25594
39537,@,25596,25595
39538,@,25597,25595
39539,@,25598,25594
39540,@,25599,25594
39541,@,25600,25599
39542,@,25601,25599
39543,@,25602,25599
39544,@,25603,25599
39545,@,25604,25599
39546,@,25605,25594
39547,@,25606,25594
39548,@,25607,25594
39549,@,25608,25594
39550,@,25609,25594
39551,@,25610,25594
39552,@,25612,25594
39553,@,25613,25594
39554,@,25614,25594
39555,@,25615,25594
39556,@,25616,25594
39557,@,25617,25594
39558,@,25618,25594
39559,@,25619,25618
39560,@,25620,25618
39561,@,25621,25618
39562,@,25622,25461
39563,@,25623,25594
39564,@,25624,25594
39565,@,25625,25594
39566,@,25626,25625
39567,@,25627,25625
39568,@,25628,25594
39569,@,25629,25628
39570,@,25631,25628
39571,@,25632,25594
39572,@,25633,25594
39573,@,25634,25594
39574,@,25635,25594
39575,@,25636,25594
39576,@,25637,25636
39577,@,25638,25636
39578,@,25639,25636
39579,@,25640,25636
39580,@,25641,25594
39581,@,25642,25594
39582,@,25643,25594
39583,@,25644,25643
39584,@,25645,25643
39585,@,25646,25643
39586,@,25647,25594
39587,@,25648,25594
39588,@,25650,25594
