5,n,9,Ethiopia is a republic in northeastern Africa formerly called Abyssinia,
40262,06499931,n,9,an industrial city on the River Soar in Leicestershire in central England; built on the site of a Roman settlement,
40263,06500139,n,9,a port in northeastern England on the River Tyne; a center for coal exports (giving rise to the expression 'carry coals to Newcastle' meaning to do something unnecessary),
40264,06500406,n,9,an industrial city in central England; devastated by air raids during World War II; remembered as the home of Lady Godiva in the 11th century,
40265,06500621,n,9,a city on the River Thames in Berkshire in S England,
40266,06500765,n,9,a steel manufacturing city in northern England famous for its cutlery industry,
40267,06500918,n,9,a town in central England on the River Avon; birthplace (and burial place) of William Shakespeare,
40268,06501101,n,9,a county in southern England,
40269,06501223,n,9,a hilly county in southwestern England,
40270,06501373,n,9,a county in southeastern England; the first to be colonized by the Romans,
40271,06501516,n,9,a largely agricultural county in central England,
40272,06501675,n,9,an agricultural county of eastern England on the North Sea,
40273,06501811,n,9,a former large county in northern England; in 1974 it was divided into three smaller counties,
40274,06501979,n,9,a county in northern England,
40275,06502088,n,9,a metropolitan county in northern England,
40276,06502228,n,9,a metropolitan county in northern England,
40277,06502369,n,9,the southwest of England (including Cornwall and Devon and Somerset),
40278,06502515,n,9,one of the British Isles in the Irish Sea,
40279,06502620,n,9,a division of the United Kingdom located on the northern part of the island of Ireland,
40280,06502845,n,9,a historic division of Ireland located in the northeastern part of the island; six of Ulster's nine counties are in Northern Ireland,
40281,06503030,n,9,capital and largest city of Northern Ireland; the center of Irish Protestantism,
40282,06503212,n,9,a republic occupying most of the island of Ireland,
40283,06503476,n,9,capital and largest city and major port of the Republic of Ireland,
40284,06503681,n,9,a village in eastern Ireland (northwest of Dublin); seat of Irish kings until 6th century,
40286,06504378,n,9,the Highlands are a mountainous region of northern Scotland famous for its rugged beauty; known for the style of dress (the kilt and tartan) and the clan system (now in disuse),
40287,06504629,n,9,a district in southwestern Scotland,
40288,06504738,n,9,a city in northeastern Scotland on the North Sea,
40289,06504860,n,9,a port in southwestern Scotland,
40290,06504941,n,9,the capital of Scotland; located in the Lothian Region on the south side of the Firth of Forth,
40291,06505110,n,9,a district in southeast central Scotland,
40292,06505249,n,9,largest city in Scotland; a port in west central Scotland; one of the great shipbuilding centers of the world,
40293,06505450,n,9,a group of more than 500 islands off the western coast of Scotland,
40294,06505700,n,9,islands between the Outer Hebrides and the western coast of Scotland,
40295,06505848,n,9,a 130-mile long archipelago northwest of Scotland,
40296,06505977,n,9,one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland,
40297,06506227,n,9,the capital and largest city of Wales,
40298,06506337,n,9,a port city in southeastern Wales,
40299,06506443,n,9,a port city in S Wales on an inlet of the Bristol Channel,
40300,06506573,n,9,a sultanate in northwestern Borneo,
40301,06506698,n,9,territory ruled by a sultan,
40302,06506799,n,9,formerly Upper Volta,
40303,06506878,n,9,a peninsula in northeastern Egypt; at north end of Red Sea,
40397,06526839,n,9,island in Paris on the Seine,
40305,06507271,n,9,a republic in northeastern Africa; site of an ancient civilization that flourished from 2600 to 30 BC,
40306,06507776,n,9,the chief port of Egypt; located where the Nile River empties into the Mediterranean Sea; founded by Alexander the Great; the capital of ancient Egypt,
40307,06508020,n,9,an ancient city on the Nile in Egypt; site of the Aswan High Dam,
40308,06508174,n,9,the capital of Egypt and the largest city in Africa; a major port just S of the Nile Delta; formerly the home of the Pharaohs,
40309,06508420,n,9,an ancient Egyptian city on the west bank of the Nile opposite Cairo; site of three Great Pyramids and the Sphinx,
40310,06508613,n,9,an ancient city of Egypt (S of Cairo),
40311,06508723,n,9,a city in central Egypt on the east bank of the Nile; site of the Temple of Luxor,
40312,06508875,n,9,a town in northern Egypt; site of the oldest Egyptian pyramids (the Step Pyramid),
40313,06509050,n,9,a republic in S Asia; 2nd most populous country in the world,
40314,06509684,n,9,state in northeastern India,
40315,06509782,n,9,northern region of India where Hinduism predominates,
40316,06509928,n,9,a historical region on northwestern India and northern Pakistan,
40317,06510082,n,9,the capital of India is a division of the old city of Delhi,
40318,06510252,n,9,a city in north-central India,
40320,06510590,n,9,a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India,
40321,06510823,n,9,a city of southeastern India on the Bay of Bengal,
40322,06510944,n,9,a city of southern India,
40323,06511039,n,9,a state of northeastern India,
40324,06511139,n,9,an industrialized state in western India that includes parts of Bombay,
40325,06511292,n,9,a region of western India north of Bombay (bordering the Arabian Sea) where Gujarati is spoken,
40326,06511469,n,9,a historical area in west-central India,
40327,06511585,n,9,a small Asian country high in the Himalayas between India and Tibet,
40328,06511932,n,9,state in eastrn India on the Bay of Bengal,
40329,06512046,n,9,the capital and largest city of Nepal,
40330,06512188,n,9,an Asian country under the control of China; located in the Himalayas,
40331,06512518,n,9,the sacred city of Lamaism; known as the Forbidden City for its former inaccessibility and hostility to strangers,
40332,06512746,n,9,"a republic in southeastern Asia including more than 13,000 islands; freed from Dutch control in 1949; the principal oil producer in the Far East and Pacific regions",
40333,06513176,n,9,an island in Indonesia S of Borneo; one of the world's most densely populated regions,
40334,06513368,n,9,an island in Indonesia east of Java; striking volcanic scenery; culture is known for elaborate dances and rituals and for handicrafts,
40335,06513590,n,9,a mountainous island in western Indonesia,
40336,06513723,n,9,a mountainous island in eastern Indonesia,
40337,06513848,n,9,the part of Indonesia on the S of the island of Borneo,
40338,06514017,n,9,capital and largest city of Indonesia; located on the island of Java; founded by the Dutch in 17th century,
40339,06514230,n,9,a city in Indonesia; located on western Java (southeast of Jakarta); a resort known for its climate,
40340,06514401,n,9,a republic in the Middle East; Iran was the core of the ancient Persian Empire and was known as Persia until 1935; rich in oil,
40341,06514815,n,9,the capital and largest city of Iran; located in northern Iran,
40342,06514986,n,9,the holy city of Shiite Muslims; located in northeastern Iran,
40343,06515129,n,9,a city in central southwestern Iran; ruins of ancient Persepolis are nearby,
40344,06515276,n,9,an ancient city in northwestern Iran; known for hot springs,
40345,06515407,n,9,a city in northwestern Iran; a place of pilgrimage for Shiite Muslims,
40346,06515545,n,9,an empire in S Asia created by Cyrus the Great in the 6th century BC and destroyed by Alexander the Great in the 4th century BC,
40347,06515761,n,9,an ancient city that was the capital of the Persian Empire; now in ruins,
40348,06515909,n,9,a republic in the Middle East; the ancient civilization of Mesopotamia was in the area now known as Iraq,
40349,06516233,n,9,capital and largest city of Iraq; located on the Tigris River; 'Baghdad is one of the great cities of the Moslem world',
40350,06516452,n,9,the former name for the geographical area of the eastern Mediterranean that is now occupied by Lebanon and Syria and Israel,
40398,06526945,n,9,a major avenue in Paris famous for elegant shops and cafes,
40352,06516946,n,9,a region and ancient country in the east of the Balkan Peninsula north of the Aegean Sea; colonized by ancient Greeks; later a Roman province; now divided between Greece and Turkey,
40353,06517217,n,9,a city in northwestern Turkey; a Thracian town that was rebuilt and renamed by the Roman emperor Hadrian,
40354,06517421,n,9,the land between the Tigris and Euphrates; site of several ancient civilizations,
40355,06517616,n,9,the chief city of ancient Mesopotamia and capitol of the ancient kingdom of Babylonia,
40357,06518087,n,9,an area in the southern region of Babylonia; site of the Sumerian civilization of city-states that flowered during the third millennium BC,
40358,06518296,n,9,an ancient kingdom in northern Mesopotamia,
40359,06518449,n,9,an ancient Assyrian city,
40360,06518544,n,9,an ancient Assyrian city,
40361,06518641,n,9,an ancient maritime country (a collection of city states) at eastern end of the Mediterranean,
40362,06518839,n,9,an ancient city state on the north African coast near modern Tunis; founded by Phoenicians; destroyed and rebuilt by Romans; razed by Arabs in 697,
40363,06519078,n,9,an ancient city on the north coast of Africa (northwest of Carthage); destroyed by Arabs around 700 AD,
40364,06519251,n,9,a string of islands east of Asia,
40365,06519472,n,9,the second larges of the four main islands of Japan; north of Honshu,
40366,06519646,n,9,the largest of the four main islands of Japan; between the Sea of Japan and the Pacific Ocean; regarded as the Japanese mainland,
40367,06519930,n,9,the southernmost of the four main islands of Japan; contains coal fields,
40368,06520131,n,9,the smallest of the four main islands of Japan; separated from Honshu by the Inland Sea; forested and mountainous,
40369,06520317,n,9,a constitutional monarchy occupying a string of islands east of Asia; a world leader in electronics and automobile manufacture and ship building,
40370,06520625,n,9,the capital and largest city of Japan; the economic and cultural center of Japan,
40371,06520843,n,9,the largest island of the central Ryukyu Islands,
40372,06521002,n,9,the chief city in the Syukyu Islands,
40373,06521113,n,9,a chain of 55 islands in the western Pacific southwest of Japan (returned by United States to Japan in 1972),
40374,06521320,n,9,an industrialized city of S Honshu in Japan on Osaka Bay,
