,73143,,,
1635967,70678,73502,,,
1635968,70678,69402,,,
1635969,70678,72467,,,
1635971,70678,71943,,,
1635972,70678,69895,,,
1635973,70678,66308,,,
1635974,70678,72963,,,
1635975,70678,77056,,,
1635976,70678,72960,,,
1635978,70678,78069,,,
1635979,70678,78068,,,
1635980,70678,76017,,,
1635981,70678,76012,,,
1635982,70678,76011,,,
1635983,70678,68836,,,
1635985,70678,72415,,,
1635986,70678,72414,,,
1635987,70678,76508,,,
1635988,70678,72406,,,
1635989,70678,72392,,,
1635990,70678,72390,,,
1635992,70678,66749,,,
1635993,70678,66748,,,
1635994,70678,66747,,,
1635995,70678,72889,,,
1635996,70678,74934,,,
1635997,70678,66216,,,
1635999,70678,77470,,,
1636000,70678,68254,,,
1636001,70678,77468,,,
1636002,70678,73370,,,
1636003,70678,73371,,,
1636004,70678,74394,,,
1636006,70678,77776,,,
1636007,70678,74903,,,
1636008,70678,75412,,,
1636009,70678,74899,,,
1636010,70678,74898,,,
1636011,70678,74385,,,
1636013,70678,67186,,,
1636014,70678,73328,,,
1636015,70678,70252,,,
1636016,70678,71786,,,
1636017,70678,72289,,,
1636018,70678,70751,,,
1636020,70678,73819,,,
1636021,70678,75864,,,
1636022,70678,71764,,,
1636023,70678,76370,,,
1636024,70678,77390,,,
1636025,70678,77385,,,
1636027,70678,73797,,,
1636028,70678,73283,,,
1636029,70678,71231,,,
1636030,70678,76348,,,
1636032,70678,67637,,,
1636033,70678,66612,,,
1636034,70678,75822,,,
1636036,70678,71721,,,
1636037,70678,73248,,,
1636038,70678,76320,,,
1636039,70678,73247,,,
1636040,70678,71700,,,
1636041,70678,67603,,,
1636043,70678,66063,,,
1636044,70678,73742,,,
1636045,70678,73740,,,
1636046,70678,70155,,,
1636047,70678,73223,,,
1636048,70678,72198,,,
1636050,70655,19453,,,
1636051,70655,19450,,,
1636052,70655,38387,,,
1636053,70655,28146,,,
1636054,70655,23536,,,
1636055,70655,28142,,,
1636057,70655,62433,,,
1636058,70655,21983,,,
1636059,70655,60373,,,
1636060,70655,59340,,,
1636061,70655,33728,,,
1636062,70655,18877,,,
1636064,70655,35763,,,
1636065,70655,60336,,,
1636066,70655,60338,,,
1636067,70655,27569,,,
1636068,70655,27568,,,
1636069,70655,60334,,,
1636071,70655,57245,,,
1636072,70655,36763,,,
1636073,70655,2968,,,
1636074,70655,27541,,,
1636075,70655,37268,,,
1636076,70655,2962,,,
1636078,70655,60304,,,
1636079,70655,27533,,,
1636080,70655,29580,,,
1636081,70655,62348,,,
