id,uri,lemma,pos,morpho,principal_parts,prosody,validated
9905,α10516,ἀντιστοχαστικός,a,aps---mn1-,ἀντιστοχαστικός ἀντιστοχαστική ἀντιστοχαστικόν,ἀντιστοχαστικός,0
9938,α10549,ἀντισχυρίζομαι,v,----------,,ἀντισχυρίζομαι,0
9939,α10550,ἀντίσχυρος,a,aps---cn2-,ἀντίσχυρος ἀντίσχυρος ἀντίσχυρον,ἀντίσχυρος,0
9965,α10575,ἀντιτεχνέω,v,----------,,ἀντιτεχνέω,0
9990,α10600,ἀντιτόρησις,n,n-s---fn3v,ἀντιτορησέως,ἀντιτόρησις,0
10000,α10610,ἀντιτυπής,a,aps---cn5s,ἀντιτυπής ἀντιτυπής ἀντιτυπές,ἀντιτυπής,0
73097,π00298,παιωνιάς,n,n-s---fn3d,παιωνιάδος,παιωνιάς,0
9424,α10034,ἀντικολάζω,v,----------,,ἀντικολάζω,0
7632,α08251,ἀνέκτριπτος,a,aps---cn2-,ἀνέκτριπτος ἀνέκτριπτος ἀνέκτριπτον,ἀνέκτριπτος,0
9429,α10039,ἀντικοπή,n,n-s---fn1e,ἀντικοπῆς,ἀντικοπή,0
5584,α06214,ἀμφίπολος,a,aps---cn2-,ἀμφίπολος ἀμφίπολος ἀμφίπολον,ἀμφίπολος,0
10099,α10709,ἀντλητήρ,n,n-s---mn3r,ἀντλητῆρος,ἀντλητήρ,0
10100,α10710,ἀντλητήριος,a,aps---mn1-,ἀντλητήριος ἀντλητήρια ἀντλητήριον,ἀντλητήριος,0
10131,α10741,ἀντονομασία,n,n-s---fn1l,ἀντονομασίας,ἀντονομασία,0
10189,α10798,ἀνύδρευτος,a,aps---cn2-,ἀνύδρευτος ἀνύδρευτος ἀνύδρευτον,ἀνύδρευτος,0
10203,α10811,ἀνυπαίτιος,a,aps---cn2-,ἀνυπαίτιος ἀνυπαίτιος ἀνυπαίτιον,ἀνυπαίτιος,0
10239,α10847,ἀνυπομένητος,a,aps---cn2-,ἀνυπομένητος ἀνυπομένητος ἀνυπομένητον,ἀνυπομένητος,0
10244,α10852,ἀνύποπτος,a,aps---cn2-,ἀνύποπτος ἀνύποπτος ἀνύποπτον,ἀνύποπτος,0
10249,α10857,ἀνυπόστατος,a,aps---cn2-,ἀνυπόστατος ἀνυπόστατος ἀνυπόστατον,ἀνυπόστατος,0
10275,α10882,ἀνυφαίρετος,a,aps---cn2-,ἀνυφαίρετος ἀνυφαίρετος ἀνυφαίρετον,ἀνυφαίρετος,0
10294,α10902,ἀνώλεθρος,a,aps---cn2-,ἀνώλεθρος ἀνώλεθρος ἀνώλεθρον,ἀνώλεθρος,0
10305,α10913,ἀνωμολόγητος,a,aps---cn2-,ἀνωμολόγητος ἀνωμολόγητος ἀνωμολόγητον,ἀνωμολόγητος,0
10337,α10944,ἀνώφοιτος,a,aps---cn2-,ἀνώφοιτος ἀνώφοιτος ἀνώφοιτον,ἀνώφοιτος,0
10344,α10951,ἀξενάγητος,a,aps---cn2-,ἀξενάγητος ἀξενάγητος ἀξενάγητον,ἀξενάγητος,0
10380,α10987,ἀξιόθρηνος,a,aps---cn2-,ἀξιόθρηνος ἀξιόθρηνος ἀξιόθρηνον,ἀξιόθρηνος,0
10388,α10995,ἀξιομάθητος,a,aps---cn2-,ἀξιομάθητος ἀξιομάθητος ἀξιομάθητον,ἀξιομάθητος,0
10413,α11021,ἀξιοτέκμαρτος,a,aps---cn2-,ἀξιοτέκμαρτος ἀξιοτέκμαρτος ἀξιοτέκμαρτον,ἀξιοτέκμαρτος,0
10429,α11037,ἀξόανος,a,aps---cn2-,ἀξόανος ἀξόανος ἀξόανον,ἀξόανος,0
10437,α11045,ἀξυγκρότητος,a,aps---cn2-,ἀξυγκρότητος ἀξυγκρότητος ἀξυγκρότητον,ἀξυγκρότητος,0
10461,α11072,ἀοιδομάχος,a,aps---cn2-,ἀοιδομάχος ἀοιδομάχος ἀοιδομάχον,ἀοιδομάχος,0
10484,α11096,ἀόρατος,a,aps---cn2-,ἀόρατος ἀόρατος ἀόρατον,ἀόρατος,0
10493,α11105,ἀόριστος,a,aps---cn2-,ἀόριστος ἀόριστος ἀόριστον,ἀόριστος,0
10521,α11133,ἀπαγγελτικός,a,aps---mn1-,ἀπαγγελτικός ἀπαγγελτική ἀπαγγελτικόν,ἀπαγγελτικός,0
10539,α11151,ἀπαγριόομαι,v,----------,,ἀπαγριόομαι,0
10547,α11159,ἀπαγωγός,a,aps---cn2-,ἀπαγωγός ἀπαγωγός ἀπαγωγόν,ἀπαγωγός,0
10595,α11204,ἀπαιτητικός,a,aps---mn1-,ἀπαιτητικός ἀπαιτητική ἀπαιτητικόν,ἀπαιτητικός,0
10609,α11218,ἀπακτός,a,aps---cn2-,ἀπακτός ἀπακτός ἀπακτόν,ἀπακτός,0
10650,α11259,ἀπαλοιφή,n,n-s---fn1e,ἀπαλοιφῆς,ἀπαλοιφή,0
10653,α11262,ἁπαλόνυχος,a,aps---cn2-,ἁπαλόνυχος ἁπαλόνυχος ἁπαλόνυχον,ἁπαλόνυχος,0
10684,α11293,ἀπαμελέομαι,v,----------,,ἀπαμελέομαι,0
10044,α10654,ἀντίφραξις,n,n-s---fn3v,ἀντιφραξέως,ἀντίφραξις,0
8146,α08762,ἀνθεκτικός,a,aps---mn1-,ἀνθεκτικός ἀνθεκτική ἀνθεκτικόν,ἀνθεκτικός,0
10072,α10682,ἀντίχορδος,a,aps---cn2-,ἀντίχορδος ἀντίχορδος ἀντίχορδον,ἀντίχορδος,0
10749,α11359,ἀπαντητικός,a,aps---mn1-,ἀπαντητικός ἀπαντητική ἀπαντητικόν,ἀπαντητικός,0
10764,α11374,ἀπαξία,n,n-s---fn1l,ἀπαξίας,ἀπαξία,0
5598,α06228,ἀμφίπυρος,a,aps---cn2-,ἀμφίπυρος ἀμφίπυρος ἀμφίπυρον,ἀμφίπυρος,0
10770,α11380,ἀπάορος,a,aps---cn2-,ἀπάορος ἀπάορος ἀπάορον,ἀπάορος,0
10807,α11417,ἀπαράμονος,a,aps---cn2-,ἀπαράμονος ἀπαράμονος ἀπαράμονον,ἀπαράμονος,0
10811,α11421,ἀπαράπειστος,a,aps---cn2-,ἀπαράπειστος ἀπαράπειστος ἀπαράπειστον,ἀπαράπειστος,0
