φ01352,φιλοπροσηγορία,n,n-s---fn1l,φιλοπροσηγορίας,φιλοπροσηγορία,0
107286,φ01665,φλεγυάω,v,----------,,φλεγυάω,0
107287,φ01666,φλεγυρός,a,aps---mn1-,φλεγυρός φλεγυρά φλεγυρόν,φλεγυρός,0
107288,φ01667,φλέγω,v,----------,,φλέγω,0
107289,φ01668,φλεδονεία,n,n-s---fn1l,φλεδονείας,φλεδονεία,0
107290,φ01669,φλεδονεύομαι,v,----------,,φλεδονεύομαι,0
107291,φ01670,φλεδονέω,v,----------,,φλεδονέω,0
107293,φ01672,φλέδων,n,n-s---mn3n,φλέδονος,φλέδων,0
107294,φ01673,φλειά,n,----------,,φλειά,0
107296,φ01676,φλειός,n,----------,,φλειός,0
107297,φ01675,φλειοῦς,a,----------,,φλειοῦς,0
107298,φ01677,φλενός,n,----------,,φλενός,0
107299,φ01678,φλέξις,n,----------,,φλέξις,0
107302,φ01681,φλεύς,n,----------,,φλεύς,0
107303,φ01682,φλεύω,v,----------,,φλεύω,0
107304,φ01683,φλέψ,n,n-s---fn3d,,φλέψ,0
107305,φ01684,φλέω,v,v1spia--2e,,φλέω,0
107306,φ01685,φλέως,n,----------,,φλέως,0
107307,φ01686,φληδάω,v,----------,,φληδάω,0
107308,φ01687,φληναφάω,v,----------,,φληναφάω,0
107312,φ01691,φληναφώδης,a,aps---cn3s,φληναφώδης φληναφώδης φληναφώ͂δες,φληναφώδης,0
107313,φ01701,φλῆνος,n,n-s---nn3v,φλῆνεος,φλῆνος,0
107314,φ01692,φληνύω,v,----------,,φληνύω,0
107315,φ01693,φλιά,n,n-s---fn1l,φλιᾶς,φλιά,0
107316,φ01694,φλιαρός,a,aps---mn1-,φλιαρός φλιαρά φλιαρόν,φλιαρός,0
107317,φ01695,φλιάσιος,n,----------,,φλιάσιος,0
107318,φ01696,φλίβω,v,----------,,φλίβω,0
107319,φ01697,φλιδάω,v,----------,,φλιδάω,0
107320,φ01698,φλιδών,n,n-s---fn3n,φλιδόνος,φλιδών,0
107322,φ01700,φλιοῦς,n,----------,,φλιοῦς,0
107323,φ01800,φλῖψις,n,n-s---fn3v,φλίψεως,φλῖψις,0
107324,φ01702,φλόα,n,----------,,φλόα,0
107326,φ01705,φλογερός,a,aps---mn1-,φλογερός φλογερά φλογερόν,φλογερός,0
107327,φ01704,φλογερῶνυξ,n,----------,,φλογερῶνυξ,0
107328,φ01706,φλογετός,n,----------,,φλογετός,0
107329,φ01707,φλογιά,n,n-s---fn1l,φλογιᾶς,φλογιά,0
107330,φ01708,φλογιάω,v,----------,,φλογιάω,0
107333,φ01711,φλογικός,a,aps---mn1-,φλογικός φλογική φλογικόν,φλογικός,0
107334,φ01712,φλόγινος,a,aps---mn1-,φλόγινος φλογίνη φλόγινον,φλόγινος,0
107335,φ01713,φλογίον,n,n-s---nn2-,φλογίου,φλογίον,0
107336,φ01714,φλόγιος,a,aps---mn1-,φλόγιος φλόγια φλόγιον,φλόγιος,0
107337,φ01715,φλογίς,n,n-s---fn3d,φλογίδος,φλογίς,0
107338,φ01716,φλόγισμα,n,n-s---nn3t,φλογίσματος,φλόγισμα,0
107339,φ01717,φλογισμός,n,----------,,φλογισμός,0
107342,φ01720,φλογίτης,n,n-s---mn1e,φλογίτου,φλογίτης,0
107343,φ01731,φλογῖτις,n,n-s---fn3d,φλογίτιδος,φλογῖτις,0
107344,φ01721,φλογμός,n,----------,,φλογμός,0
107346,φ01723,φλογμόω,v,----------,,φλογμόω,0
107347,φ01724,φλογοβαφής,a,aps---cn5s,φλογοβαφής φλογοβαφής φλογοβαφές,φλογοβαφής,0
107349,φ01726,φλογόεις,a,aps---mn4i,φλογόεις φλογόεσσα φλογόεν,φλογόεις,0
107350,φ01727,φλογοιδέομαι,v,----------,,φλογοιδέομαι,0
