id,type,source,target
90925,/,17318,106292
90926,/,18844,106292
90927,/,66547,106292
90928,/,107024,107026
90929,/,17040,107878
90930,/,107113,107878
90931,/,52905,107878
90932,/,78810,107878
90933,/,94791,107878
90934,/,103575,107878
90935,/,109528,109517
90936,/,109036,109055
90937,/,109036,109025
90938,/,108744,109452
90939,/,108754,109452
90940,/,110523,110535
90941,/,7312,110706
90942,/,13588,110706
90943,/,24770,110706
90944,/,28915,110706
90945,/,39547,110706
90946,/,78887,110706
90947,/,86595,110706
90948,/,86984,110706
90949,/,93902,110706
90950,/,71998,111892
90951,/,70011,111892
90952,/,18248,17950
90953,/,22274,33207
90954,/,22274,74258
90955,/,22274,95234
90956,/,22274,103864
90957,/,22871,23002
90958,/,23589,23594
90959,/,25334,25333
90960,/,26699,26711
90961,/,26856,26478
90962,/,28112,28110
90963,/,28112,28108
90964,/,28112,28115
90965,/,28108,28110
90966,/,28134,24878
90967,/,38013,38012
90968,/,38013,38016
90969,/,38851,38849
90970,/,35741,35732
90971,/,40456,40483
90972,/,40041,40056
90973,/,40041,88411
90974,/,40041,88410
90975,/,31961,31936
90976,/,43854,43856
90977,/,43858,44003
90978,/,44159,44054
90979,/,45321,45320
90980,/,45321,45332
90981,/,45321,45334
90982,/,44281,44295
90983,/,44281,44301
90984,/,44428,44427
90985,/,44292,25182
90986,/,44292,35235
90987,/,44292,36612
90988,/,44292,37145
90989,/,44292,43423
90990,/,44292,49271
90991,/,44292,49338
90992,/,44292,51297
90993,/,44292,68580
90994,/,44292,77676
90995,/,44292,83258
90996,/,44292,83680
90997,/,44292,109903
90998,/,46069,46102
90999,/,46178,1014
91000,/,46178,3047
91001,/,46178,10459
91002,/,46178,15755
91003,/,46178,22252
91004,/,46178,23274
91005,/,46178,30220
91006,/,46178,31498
91007,/,46178,37328
91008,/,46178,56977
91009,/,46178,60626
91010,/,46178,67578
91011,/,46178,69246
91012,/,46178,70620
91013,/,46178,71736
91014,/,46178,74360
91015,/,46178,75679
91016,/,46178,46133
91017,/,46178,92630
91018,/,46178,96428
91019,/,46178,102367
91020,/,46178,104028
91021,/,46178,111097
91022,/,46428,46454
91023,/,45832,45834
91024,/,45931,45930
91025,/,46618,45544
91026,/,46618,46123
91027,/,46618,46642
91028,/,46595,46599
91029,/,46595,46721
91030,/,46595,46732
91031,/,46613,46732
91032,/,46619,46599
91033,/,46619,46721
91034,/,46721,46599
91035,/,46721,89290
91036,/,47136,46876
91037,/,47136,46921
91038,/,47136,47135
91039,/,47136,47140
91040,/,47136,47143
91041,/,47136,47150
91042,/,47136,47153
91043,/,47344,49054
91044,/,47344,47283
91045,/,47804,47802
91046,/,47804,47803
91047,/,47804,47805
91048,/,47804,47806
91049,/,50807,71068
91050,/,54731,6236
91051,/,54731,9410
91052,/,54731,16797
91053,/,54731,23422
91054,/,54731,63451
91055,/,54731,74529
91056,/,54731,83193
91057,/,54731,93655
91058,/,54731,98491
91059,/,55502,55493
91060,/,49949,49989
91061,/,57028,57311
91062,/,57168,28693
91063,/,57168,29641
91064,/,22274,22203
91065,/,57168,83402
91066,/,57168,85855
91067,/,56812,6320
91068,/,56812,28672
91069,/,56812,37746
91070,/,56812,51640
91071,/,56812,93748
91072,/,57429,76716
91073,/,57429,76714
91074,/,57429,80644
91075,/,57955,57956
91076,/,58295,58294
91077,/,54460,50701
91078,/,58747,58708
91079,/,59010,89041
91080,/,59010,89033
91081,/,59010,89037
91082,/,59329,9476
91083,/,59329,23600
91084,/,59329,30537
91085,/,59329,37893
91086,/,59329,42103
91087,/,59329,51748
91088,/,59329,59294
91089,/,59329,77958
91090,/,59329,81265
91091,/,59329,83199
91092,/,59329,94042
91093,/,60960,2378
91094,/,60960,57985
91095,/,60960,60917
91096,/,60960,60920
91097,/,60960,60921
91098,/,60960,60924
91099,/,60960,60926
91100,/,60960,60928
91101,/,60960,60929
91102,/,60960,60930
91103,/,60960,60933
91104,/,60960,60936
91105,/,60960,60937
91106,/,60960,60938
91107,/,60960,60939
91108,/,60960,60941
91109,/,60960,60947
91110,/,60960,60948
91111,/,60960,60949
91112,/,60960,60950
91113,/,60960,60951
91114,/,60960,60953
91115,/,60960,60955
91116,/,60960,60956
91117,/,60960,60959
91118,/,60960,60961
91119,/,60960,60963
91120,/,60960,60965
91121,/,60960,60966
91122,/,60960,60967
91123,/,60960,60968
91124,/,60960,60970
91125,/,60960,60971
91126,/,60960,60972
91127,/,60960,60973
91128,/,60960,60974
91129,/,60960,60976
91130,/,60960,60979
91131,/,60960,60980
91132,/,60960,65277
91133,/,61063,6458
91134,/,61063,8853
91135,/,61063,12418
91136,/,61063,23651
91137,/,61063,36030
91138,/,61063,37974
91139,/,61063,51822
91140,/,61063,74725
91141,/,61063,77985
91142,/,61063,94078
91143,/,61063,102705
91144,/,61063,104344
91145,/,60794,60803
91146,/,61016,61013
91147,/,59825,24901
91148,/,59825,77610
91149,/,59897,3835
91150,/,59897,15110
91151,/,59897,59791
91152,/,59897,59792
91153,/,59897,59794
91154,/,59897,59891
91155,/,59897,59892
91156,/,59897,59893
91157,/,59897,59894
91158,/,59897,59896
91159,/,59897,59898
91160,/,59897,59900
91161,/,59897,59901
91162,/,59897,59903
91163,/,59897,59904
91164,/,59897,59905
91165,/,59897,59907
91166,/,59897,94054
91167,/,59897,107812
91168,/,62418,4738
91169,/,62418,4739
91170,/,62418,32251
91171,/,62418,42169
91172,/,62418,42170
91173,/,62418,62408
91174,/,62418,62409
91175,/,62418,62410
91176,/,57168,36486
91177,/,62418,62413
91178,/,62418,62415
91179,/,62418,62416
91180,/,62418,62417
91181,/,63045,63022
91182,/,63045,63042
91183,/,65087,65073
91184,/,65087,65081
91185,/,65467,65466
91186,/,62321,62326
91187,/,62321,62325
91188,/,62321,62323
91189,/,64128,64118
91190,/,64258,64246
91191,/,64258,64247
91192,/,64749,64731
91193,/,65334,65333
91194,/,64246,64247
91195,/,65728,65690
91196,/,65728,65692
91197,/,65728,65696
91198,/,65728,65697
91199,/,65728,65701
91200,/,65728,65702
91201,/,65728,65718
91202,/,65728,65733
91203,/,65728,65734
91204,/,66778,66728
91205,/,67500,67505
91206,/,67500,67511
91207,/,66577,66578
91208,/,66577,66580
91209,/,66577,66581
91210,/,67543,67592
91211,/,67578,67574
91212,/,67578,67576
91213,/,67578,67577
91214,/,67578,67580
91215,/,67578,67581
91216,/,68824,25558
91217,/,68824,29674
91218,/,68824,30105
91219,/,68824,33959
91220,/,68824,35439
91221,/,68824,53348
